Rule ID,Macro Class,Micro Class,Rule Text,Severity,Weight,Section
ZH-CN-000-3934C909,Punctuation,Punctuation,"Use full-width punctuation for non-ASCII characters (e.g., �rst).",Major,2,1 > 3
ZH-CN-001-3648362E,Terminology,Terminology,Avoid abbreviating 'Language Specialists' in translations.,Minor,4,1 > 3
ZH-CN-002-19E6E5B9,Terminology,Style,Never use a negative or frightening tone in translations.,Major,4,2 > 4
ZH-CN-003-3F96ABB4,Terminology,Style,Active voice should be encouraged in translations.,Minor,4,2 > 4
ZH-CN-004-2A550BE3,Terminology,Style,"Do not translate literally; aim for adaptation to the target language, customs, and standards.",Minor,4,2 > 4
ZH-CN-005-3FCAA3DC,Style,Style,"When translating editorial content, aim to achieve the same results as in the original.",Minor,1,2 > 4
ZH-CN-006-8C9C86CD,Style,Punctuation,"When reordering lists of languages/countries, place the target language first.",Minor,1,2 > 4
ZH-CN-007-13CEA27E,Mechanics,Style,Headings and subheadings must be informative and descriptive.,Major,3,3 > 1 > 3
ZH-CN-008-8CFDF84A,Style,Style,Headings and subheadings should help merchants understand what they’ll find in the section below.,Minor,1,3 > 1 > 3
ZH-CN-009-37F41861,Style,Style,Headings and subheadings must be concise and scannable.,Major,1,3 > 1 > 3
ZH-CN-010-90B03E1D,Style,Style,"Headings and subheadings must use simple, clear language.",Major,1,3 > 1 > 3
ZH-CN-011-0F936524,Style,Style,Headings and subheadings must be kept to a single sentence.,Major,1,3 > 1 > 3
ZH-CN-012-7140859D,Punctuation,Punctuation,"Headings and subheadings must avoid using punctuation such as periods, commas, or semicolons.",Major,2,3 > 1 > 3
ZH-CN-013-12ECD32D,Terminology,Style,The translation should be crisp and appealing to the reader.,Minor,4,3 > 1 > 5 > 1
ZH-CN-014-F21745AA,Style,Style,The subject line should be short and concise.,Minor,1,3 > 1 > 5 > 1
ZH-CN-015-0D828646,Style,Style,The subject line should be appealing to the reader.,Minor,1,3 > 1 > 5 > 1
ZH-CN-016-6DF49133,Style,Style,Present tense is preferred. Only use future tense when referring to something that'll happen in the future.,Major,1,3 > 2 > 4
ZH-CN-017-C2884A6F,Style,Style,"Use the right tone. An instructional, informal and direct tone is preferred.",Minor,1,3 > 2 > 4
ZH-CN-018-C81DE98E,Style,Style,Use contractions.,Major,1,3 > 2 > 4
ZH-CN-019-594B92A7,Style,Style,Address the reader or user as “you.”,Major,1,3 > 2 > 4
ZH-CN-020-90CC030F,Terminology,Style,Use variable sentence structure in translation.,Major,4,3 > 2 > 4
ZH-CN-021-EB46D119,Terminology,Style,Avoid long sentences in translation.,Major,4,3 > 2 > 4
ZH-CN-022-DA679491,Style,Terminology,Avoid using more than two “的” characters in one sentence.,Major,1,3 > 2 > 4
ZH-CN-023-2C3F77FE,Terminology,Accuracy,Legal translation must be 100% accurate and faithful to the original text.,Major,4,3 > 3
ZH-CN-024-E8E7B5CF,Terminology,Accuracy,The translator must ensure that the translated document conveys the same meaning as the original document.,Major,4,3 > 3
ZH-CN-025-E8DEFF3C,Terminology,Terminology,The translator must be familiar with the legal systems and terminology of both the source and target languages.,Major,4,3 > 3
ZH-CN-026-DAEB220C,Legal,Style,The translator must be able to convey the intended meaning of the legal document in the cultural context of the target language.,Major,6,3 > 3
ZH-CN-027-56517204,Terminology,Style,Write shorter translations for captions. Prioritize conveying the original meaning and intent while keeping Shopify’s voice and values in mind.,Major,4,3 > 4
